Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
56,2.90218e-58,0.132503,5000,1,14.9678,0.999023,0.000976562,0.0556641,0.0556641
57,2.89934e-58,0.132523,5000,0.998047,14.9629,0.998047,0,0.0654297,0.0654297
58,2.90502e-58,0.132483,5000,1,14.9521,1,0,0.0527344,0.0527344
59,2.90502e-58,0.132483,5000,1,14.9355,1,0,0.0605469,0.0605469
60,2.90502e-58,0.132483,5000,1,14.9219,1,0,0.0439453,0.0439453
61,2.90502e-58,0.132483,5000,1,14.9219,1,0,0.0517578,0.0517578
62,2.90218e-58,0.132497,5000,1,14.9229,1,0,0.0390625,0.0390625
63,2.90502e-58,0.132483,5000,1,14.9189,1,0,0.0556641,0.0556641
64,2.90502e-58,0.132483,5000,1,14.9131,1,0,0.0439453,0.0439453
65,2.90502e-58,0.132483,5000,1,14.9219,1,0,0.0556641,0.0556641
66,2.90502e-58,0.132483,5000,1,14.915,1,0,0.0390625,0.0390625
67,2.90502e-58,0.132483,5000,1,14.9219,1,0,0.0449219,0.0449219
68,2.90502e-58,0.132483,5000,1,14.918,1,0,0.0488281,0.0488281
69,2.90502e-58,0.132483,5000,1,14.9199,1,0,0.0498047,0.0498047
70,2.89934e-58,0.132523,5000,0.998047,14.9219,0.998047,0,0.0673828,0.0673828
71,2.90502e-58,0.132483,5000,1,14.9053,1,0,0.0419922,0.0419922
72,2.90218e-58,0.132503,5000,0.999023,14.917,0.999023,0,0.0605469,0.0605469
73,2.90502e-58,0.132483,5000,1,14.9141,1,0,0.0507812,0.0507812
74,2.90502e-58,0.132483,5000,1,14.8926,1,0,0.0449219,0.0449219
75,2.90502e-58,0.132483,5000,1,14.8818,1,0,0.0380859,0.0380859
76,2.90218e-58,0.132503,5000,1,14.8926,0.999023,0.000976562,0.0527344,0.0527344
77,2.90502e-58,0.132483,5000,1,14.9111,1,0,0.046875,0.046875
78,2.89934e-58,0.132523,5000,0.998047,14.9121,0.998047,0,0.0458984,0.0458984
79,2.90218e-58,0.132503,5000,0.999023,14.9248,0.999023,0,0.0400391,0.0400391
80,2.90502e-58,0.132483,5000,1,14.9375,1,0,0.0390625,0.0390625
81,2.90502e-58,0.132483,5000,1,14.9512,1,0,0.0537109,0.0537109
82,2.90502e-58,0.132483,5000,1,14.9492,1,0,0.0498047,0.0498047
83,2.90502e-58,0.132483,5000,1,14.9365,1,0,0.0517578,0.0517578
84,2.89934e-58,0.132523,5000,0.998047,14.9453,0.998047,0,0.0537109,0.0537109
85,2.90502e-58,0.132483,5000,1,14.959,1,0,0.0566406,0.0566406
86,2.90218e-58,0.132503,5000,0.999023,14.9648,0.999023,0,0.0410156,0.0410156
87,2.89934e-58,0.132522,5000,0.999023,14.9746,0.999023,0,0.0517578,0.0517578
88,2.90502e-58,0.132483,5000,1,14.9854,1,0,0.0566406,0.0566406
89,2.90502e-58,0.132483,5000,1,15.0039,1,0,0.0498047,0.0498047
90,2.90218e-58,0.132503,5000,0.999023,15.0049,0.999023,0,0.0527344,0.0527344
91,2.90502e-58,0.132483,5000,1,14.9795,1,0,0.046875,0.046875
92,2.90502e-58,0.132483,5000,1,14.9814,1,0,0.0546875,0.0546875
93,2.90218e-58,0.132503,5000,0.999023,15.0088,0.999023,0,0.0546875,0.0546875
94,2.90218e-58,0.132503,5000,0.999023,15,0.999023,0,0.0644531,0.0644531
95,2.90218e-58,0.132503,5000,0.999023,14.9775,0.999023,0,0.0537109,0.0537109
96,2.90502e-58,0.132483,5000,1,14.959,1,0,0.0458984,0.0458984
97,2.90218e-58,0.132503,5000,0.999023,14.9512,0.999023,0,0.0332031,0.0332031
98,2.90502e-58,0.132483,5000,1,14.9551,1,0,0.0527344,0.0527344
99,2.90502e-58,0.132483,5000,1,14.959,1,0,0.0478516,0.0478516
100,2.90502e-58,0.132483,5000,1,14.9473,1,0,0.0488281,0.0488281
101,2.90218e-58,0.132503,5000,0.999023,14.9395,0.999023,0,0.0556641,0.0556641
102,2.90218e-58,0.132503,5000,0.999023,14.9385,0.999023,0,0.0429688,0.0429688
103,2.90502e-58,0.132483,5000,1,14.9199,1,0,0.0498047,0.0498047
104,2.90218e-58,0.132503,5000,0.999023,14.9258,0.999023,0,0.0585938,0.0585938
105,2.90218e-58,0.132503,5000,0.999023,14.9072,0.999023,0,0.0351562,0.0351562
106,2.90502e-58,0.132483,5000,1,14.915,1,0,0.0361328,0.0361328
107,1.4472e-54,0.132488,5000,0.999023,14.9346,0.999023,0,0.0517578,0.0517578
108,1.30225e-53,0.132348,5000,1,14.9639,1,0,0.0625,0.0625
109,3.61731e-53,0.132106,5000,1,14.9551,1,0,0.0488281,0.0488281
110,7.08991e-53,0.131744,5000,1,14.9688,1,0,0.0410156,0.0410156
